,,,Afghanistan,,,,Albania,,,,Algeria,,,,Andorra,,,,Angola,,,,Antigua and Barbuda,,,,Argentina,,,,Armenia,,,,Australia,,,,Austria,,,,Azerbaijan,,,,Bahamas,,,,Bahrain,,,,Bangladesh,,,,Barbados,,,,Belarus,,,,Belgium,,,,Belize,,,,Benin,,,,Bhutan,,,,Bolivia (Plurinational State of),,,,Bosnia and Herzegovina,,,,Botswana,,,,Brazil,,,,Brunei Darussalam,,,,Bulgaria,,,,Burkina Faso,,,,Burundi,,,,Cabo Verde,,,,Cambodia,,,,Cameroon,,,,Canada,,,,Central African Republic,,,,Chad,,,,Chile,,,,China,,,,Colombia,,,,Comoros,,,,Congo,,,,Cook Islands,,,,Costa Rica,,,,Côte d'Ivoire,,,,Croatia,,,,Cuba,,,,Cyprus,,,,Czechia,,,,Democratic People's Republic of Korea,,,,Democratic Republic of the Congo,,,,Denmark,,,,Djibouti,,,,Dominica,,,,Dominican Republic,,,,Ecuador,,,,Egypt,,,,El Salvador,,,,Equatorial Guinea,,,,Eritrea,,,,Estonia,,,,Ethiopia,,,,Faroe Islands,,,,Fiji,,,,Finland,,,,France,,,
Long-term average annual precipitation in volume (10^9 m3/year),1958-1962,1962,213.5,K,,1962,42.69,E,,1962,212,E,,1962,0.4724,E,,1962,1259,E,,1962,0.4532,E,,1962,1643,,,,,,,1962,4134,E,,1962,93.11,E,,,,,,1962,17.93,E,,1962,0.0573,K,,1962,395.8,E,,1962,0.6115,E,,,,,,1962,25.84,,,1962,39.16,E,,1962,119.2,E,,1962,103.4,E,,1962,1259,,,,,,,1962,242,E,,1962,14995,,,1962,15.71,E,,1962,67.48,E,,1962,205.1,E,,1962,35.46,E,,1962,0.9188,E,,1962,344.7,E,,1962,762.6,E,,1962,5362,E,,1962,836.7,E,,1962,413.4,E,,1962,1151,,,1962,6192,E,,1962,3699,,,1962,1.675,E,,1962,562.9,E,,,,,,1962,149.5,E,,1962,434.7,E,,,,,,1962,146.7,E,,1962,4.606,K,,,,,,1962,127,E,,1962,3618,E,,1962,30.29,E,,1962,5.104,E,,1962,1.562,E,,1962,68.62,E,,1962,644.8,K,,1962,51.07,E,,1962,37.54,K,,1962,60.48,E,,,,,,,,,,,,,,,,,,1962,47.36,K,,1962,181.2,E,,1962,476.1,K,,1962
Long-term average annual precipitation in volume (10^9 m3/year),1963-1967,1967,213.5,K,,1967,42.69,E,,1967,212,E,,1967,0.4724,E,,1967,1259,E,,1967,0.4532,E,,1967,1643,,,,,,,1967,4134,E,,1967,93.11,E,,,,,,1967,17.93,E,,1967,0.0573,K,,1967,395.8,E,,1967,0.6115,E,,,,,,1967,25.84,,,1967,39.16,E,,1967,119.2,E,,1967,103.4,E,,1967,1259,,,,,,,1967,242,E,,1967,14995,,,1967,15.71,E,,1967,67.48,E,,1967,205.1,E,,1967,35.46,E,,1967,0.9188,E,,1967,344.7,E,,1967,762.6,E,,1967,5362,E,,1967,836.7,E,,1967,413.4,E,,1967,1151,,,1967,6192,E,,1967,3699,,,1967,1.675,E,,1967,562.9,E,,,,,,1967,149.5,E,,1967,434.7,E,,,,,,1967,146.7,E,,1967,4.606,K,,,,,,1967,127,E,,1967,3618,E,,1967,30.29,E,,1967,5.104,E,,1967,1.562,E,,1967,68.62,E,,1967,644.8,K,,1967,51.07,E,,1967,37.54,K,,1967,60.48,E,,,,,,,,,,,,,,,,,,1967,47.36,K,,1967,181.2,E,,1967,476.1,K,,1967
Long-term average annual precipitation in volume (10^9 m3/year),1968-1972,1972,213.5,K,,1972,42.69,E,,1972,212,E,,1972,0.4724,E,,1972,1259,E,,1972,0.4532,E,,1972,1643,,,,,,,1972,4134,E,,1972,93.11,E,,,,,,1972,17.93,E,,1972,0.0573,K,,1972,395.8,E,,1972,0.6115,E,,,,,,1972,25.84,,,1972,39.16,E,,1972,119.2,E,,1972,103.4,E,,1972,1259,,,,,,,1972,242,E,,1972,14995,,,1972,15.71,E,,1972,67.48,E,,1972,205.1,E,,1972,35.46,E,,1972,0.9188,E,,1972,344.7,E,,1972,762.6,E,,1972,5362,E,,1972,836.7,E,,1972,413.4,E,,1972,1151,,,1972,6192,E,,1972,3699,,,1972,1.675,E,,1972,562.9,E,,,,,,1972,149.5,E,,1972,434.7,E,,,,,,1972,146.7,E,,1972,4.606,K,,,,,,1972,127,E,,1972,3618,E,,1972,30.29,E,,1972,5.104,E,,1972,1.562,E,,1972,68.62,E,,1972,644.8,K,,1972,51.07,E,,1972,37.54,K,,1972,60.48,E,,,,,,,,,,,,,,,,,,1972,47.36,K,,1972,181.2,E,,1972,476.1,K,,1972
Long-term average annual precipitation in volume (10^9 m3/year),1973-1977,1977,213.5,K,,1977,42.69,E,,1977,212,E,,1977,0.4724,E,,1977,1259,E,,1977,0.4532,E,,1977,1643,,,,,,,1977,4134,E,,1977,93.11,E,,,,,,1977,17.93,E,,1977,0.0573,K,,1977,395.8,E,,1977,0.6115,E,,,,,,1977,25.84,,,1977,39.16,E,,1977,119.2,E,,1977,103.4,E,,1977,1259,,,,,,,1977,242,E,,1977,14995,,,1977,15.71,E,,1977,67.48,E,,1977,205.1,E,,1977,35.46,E,,1977,0.9188,E,,1977,344.7,E,,1977,762.6,E,,1977,5362,E,,1977,836.7,E,,1977,413.4,E,,1977,1151,,,1977,6192,E,,1977,3699,,,1977,1.675,E,,1977,562.9,E,,,,,,1977,149.5,E,,1977,434.7,E,,,,,,1977,146.7,E,,1977,4.606,K,,,,,,1977,127,E,,1977,3618,E,,1977,30.29,E,,1977,5.104,E,,1977,1.562,E,,1977,68.62,E,,1977,644.8,K,,1977,51.07,E,,1977,37.54,K,,1977,60.48,E,,,,,,,,,,,,,,,,,,1977,47.36,K,,1977,181.2,E,,1977,476.1,K,,1977
Long-term average annual precipitation in volume (10^9 m3/year),1978-1982,1982,213.5,K,,1982,42.69,E,,1982,212,E,,1982,0.4724,E,,1982,1259,E,,1982,0.4532,E,,1982,1643,,,,,,,1982,4134,E,,1982,93.11,E,,,,,,1982,17.93,E,,1982,0.0573,K,,1982,395.8,E,,1982,0.6115,E,,,,,,1982,25.84,,,1982,39.16,E,,1982,119.2,E,,1982,103.4,E,,1982,1259,,,,,,,1982,242,E,,1982,14995,,,1982,15.71,E,,1982,67.48,E,,1982,205.1,E,,1982,35.46,E,,1982,0.9188,E,,1982,344.7,E,,1982,762.6,E,,1982,5362,E,,1982,836.7,E,,1982,413.4,E,,1982,1151,,,1982,6192,E,,1982,3699,,,1982,1.675,E,,1982,562.9,E,,,,,,1982,149.5,E,,1982,434.7,E,,,,,,1982,146.7,E,,1982,4.606,K,,,,,,1982,127,E,,1982,3618,E,,1982,30.29,E,,1982,5.104,E,,1982,1.562,E,,1982,68.62,E,,1982,644.8,K,,1982,51.07,E,,1982,37.54,K,,1982,60.48,E,,,,,,,,,,,,,,,,,,1982,47.36,K,,1982,181.2,E,,1982,476.1,K,,1982
Long-term average annual precipitation in volume (10^9 m3/year),1983-1987,1987,213.5,K,,1987,42.69,E,,1987,212,E,,1987,0.4724,E,,1987,1259,E,,1987,0.4532,E,,1987,1643,,,,,,,1987,4134,E,,1987,93.11,E,,,,,,1987,17.93,E,,1987,0.0573,K,,1987,395.8,E,,1987,0.6115,E,,,,,,1987,25.84,,,1987,39.16,E,,1987,119.2,E,,1987,103.4,E,,1987,1259,,,,,,,1987,242,E,,1987,14995,,,1987,15.71,E,,1987,67.48,E,,1987,205.1,E,,1987,35.46,E,,1987,0.9188,E,,1987,344.7,E,,1987,762.6,E,,1987,5362,E,,1987,836.7,E,,1987,413.4,E,,1987,1151,,,1987,6192,E,,1987,3699,,,1987,1.675,E,,1987,562.9,E,,,,,,1987,149.5,E,,1987,434.7,E,,,,,,1987,146.7,E,,1987,4.606,K,,,,,,1987,127,E,,1987,3618,E,,1987,30.29,E,,1987,5.104,E,,1987,1.562,E,,1987,68.62,E,,1987,644.8,K,,1987,51.07,E,,1987,37.54,K,,1987,60.48,E,,,,,,,,,,,,,,,,,,1987,47.36,K,,1987,181.2,E,,1987,476.1,K,,1987
Long-term average annual precipitation in volume (10^9 m3/year),1988-1992,1992,213.5,K,,1992,42.69,E,,1992,212,E,,1992,0.4724,E,,1992,1259,E,,1992,0.4532,E,,1992,1643,,,1992,16.71,K,,1992,4134,E,,1992,93.11,E,,1992,38.71,K,,1992,17.93,E,,1992,0.0589,K,,1992,395.8,E,,1992,0.6115,E,,1992,128.3,E,,1992,25.84,,,1992,39.16,E,,1992,119.2,E,,1992,103.4,E,,1992,1259,,,1992,52.64,E,,1992,242,E,,1992,14995,,,1992,15.71,E,,1992,67.48,E,,1992,205.1,E,,1992,35.46,E,,1992,0.9188,E,,1992,344.7,E,,1992,762.6,E,,1992,5362,E,,1992,836.7,E,,1992,413.4,E,,1992,1151,,,1992,6192,E,,1992,3699,,,1992,1.675,E,,1992,562.9,E,,,,,,1992,149.5,E,,1992,434.7,E,,1992,62.93,K,,1992,146.7,E,,1992,4.606,K,,,,,,1992,127,E,,1992,3618,E,,1992,30.29,E,,1992,5.104,E,,1992,1.562,E,,1992,68.62,E,,1992,644.8,K,,1992,51.07,E,,1992,37.54,K,,1992,60.48,E,,,,,,1992,28.31,E,,,,,,,,,,1992,47.36,K,,1992,181.2,E,,1992,476.1,K,,1992
Long-term average annual precipitation in volume (10^9 m3/year),1993-1997,1997,213.5,K,,1997,42.69,E,,1997,212,E,,1997,0.4724,E,,1997,1259,E,,1997,0.4532,E,,1997,1643,,,1997,16.71,K,,1997,4134,E,,1997,93.11,E,,1997,38.71,K,,1997,17.93,E,,1997,0.0589,K,,1997,395.8,E,,1997,0.6115,E,,1997,128.3,E,,1997,25.84,,,1997,39.16,E,,1997,119.2,E,,1997,88.18,E,,1997,1259,,,1997,52.64,E,,1997,242,E,,1997,14995,,,1997,15.71,E,,1997,67.48,E,,1997,205.1,E,,1997,35.46,E,,1997,0.9188,E,,1997,344.7,E,,1997,762.6,E,,1997,5362,E,,1997,836.7,E,,1997,413.4,E,,1997,1151,,,1997,6192,E,,1997,3699,,,1997,1.675,E,,1997,562.9,E,,,,,,1997,149.5,E,,1997,434.7,E,,1997,63.01,K,,1997,146.7,E,,1997,4.606,K,,1997,53.39,E,,1997,127,E,,1997,3618,E,,1997,30.29,E,,1997,5.104,E,,1997,1.562,E,,1997,68.62,E,,1997,644.8,K,,1997,51.07,E,,1997,37.54,K,,1997,60.48,E,,1997,45.16,E,,1997,28.31,E,,1997,936.4,E,,,,,,1997,47.36,K,,1997,181.2,E,,1997,476.1,K,,1997
Long-term average annual precipitation in volume (10^9 m3/year),1998-2002,2002,213.5,K,,2002,42.69,E,,2002,212,E,,2002,0.4724,E,,2002,1259,E,,2002,0.4532,E,,2002,1643,,,2002,16.71,K,,2002,4134,E,,2002,93.11,E,,2002,38.71,K,,2002,17.93,E,,2002,0.0589,K,,2002,395.8,E,,2002,0.6115,E,,2002,128.3,E,,2002,25.86,E,,2002,39.16,E,,2002,119.2,E,,2002,88.18,E,,2002,1259,,,2002,52.64,E,,2002,242,E,,2002,14995,,,2002,15.71,E,,2002,67.48,E,,2002,205.1,E,,2002,35.46,E,,2002,0.9188,E,,2002,344.7,E,,2002,762.6,E,,2002,5362,E,,2002,836.7,E,,2002,413.4,E,,2002,1151,,,2002,6192,E,,2002,3699,,,2002,1.675,E,,2002,562.9,E,,,,,,2002,149.5,E,,2002,434.7,E,,2002,62.93,K,,2002,146.7,E,,2002,4.606,K,,2002,53.39,E,,2002,127,E,,2002,3618,E,,2002,30.29,E,,2002,5.104,E,,2002,1.562,E,,2002,68.62,E,,2002,583,K,,2002,51.07,E,,2002,37.54,K,,2002,60.48,E,,2002,45.16,E,,2002,28.31,E,,2002,936.4,E,,,,,,2002,47.36,K,,2002,181.2,E,,2002,476.1,K,,2002
Long-term average annual precipitation in volume (10^9 m3/year),2003-2007,2007,213.5,K,,2007,42.69,E,,2007,212,E,,2007,0.4724,E,,2007,1259,E,,2007,0.4532,E,,2007,1643,,,2007,16.71,K,,2007,4134,E,,2007,93.11,E,,2007,38.71,K,,2007,17.93,E,,2007,0.0622,K,,2007,395.8,E,,2007,0.6115,E,,2007,128.3,E,,2007,25.86,E,,2007,39.16,E,,2007,119.2,E,,2007,84.46,E,,2007,1259,,,2007,52.64,E,,2007,242,E,,2007,14995,,,2007,15.71,E,,2007,67.49,E,,2007,205.1,E,,2007,35.46,E,,2007,0.9188,E,,2007,344.7,E,,2007,762.6,E,,2007,5362,E,,2007,836.7,E,,2007,413.4,E,,2007,1151,,,2007,6192,E,,2007,3699,,,2007,1.675,E,,2007,562.9,E,,,,,,2007,149.5,E,,2007,434.7,E,,2007,62.98,K,,2007,146.7,E,,2007,4.606,K,,2007,53.39,K,,2007,127,E,,2007,3618,E,,2007,30.29,E,,2007,5.104,E,,2007,1.562,E,,2007,68.62,E,,2007,583,K,,2007,51.07,E,,2007,37.54,K,,2007,60.48,E,,2007,45.16,E,,2007,28.31,E,,2007,936.4,E,,,,,,2007,47.36,K,,2007,181.4,E,,2007,476.1,K,,2007
