Area,Year,Value
Afghanistan,1975,819.5
Afghanistan,1987,2303
Afghanistan,2000,943.8
Albania,1990,370.3
Albania,2000,588.5
Albania,2006,435.4
Algeria,1970,130.1
Algeria,1975,141.3
Algeria,1980,145.8
Algeria,1985,146.3
Algeria,1990,165.6
Algeria,2001,178.9
Algeria,2012,225
Angola,1987,46.67
Angola,2000,39.76
Angola,2005,36.79
Antigua and Barbuda,1990,78.83
Antigua and Barbuda,2005,99.53
Antigua and Barbuda,2012,129.1
Argentina,1976,1027
Argentina,1995,797.6
Argentina,2011,897.5
Armenia,1995,932.1
Armenia,2002,568.8
Armenia,2007,956.5
Armenia,2012,987.6
Armenia,2015,1084
Australia,1996,1199
Australia,2001,1112
Australia,2005,894.4
Australia,2012,699.2
Australia,2015,724.7
Austria,1980,440.4
Austria,1985,469.6
Austria,1990,487.3
Austria,1997,454.6
Austria,2002,452
Austria,2010,413
Azerbaijan,1997,1579
Azerbaijan,2002,1216
Azerbaijan,2005,1393
Azerbaijan,2012,1279
Bahrain,1990,457.2
Bahrain,2003,348
Bangladesh,2008,231
Barbados,1962,129
Barbados,1996,303.5
Barbados,2005,293.3
Belarus,1995,196.2
Belarus,2000,187
Belarus,2005,178.5
Belarus,2010,163.1
Belarus,2013,159.4
Belgium,1980,919.5
Belgium,1997,754.4
Belgium,2002,650.1
Belgium,2007,580.8
Belgium,2009,542
Belize,1987,114.7
Belize,2000,385.2
Benin,1985,24.2
Benin,2001,17.53
Bhutan,2008,454.5
Bolivia (Plurinational State of),1987,191.8
Bolivia (Plurinational State of),2009,203.9
Bosnia and Herzegovina,2005,87.01
Bosnia and Herzegovina,2012,85.95
Bosnia and Herzegovina,2013,86.06
Botswana,1985,71.37
Botswana,1992,77.4
Botswana,1995,87.12
Botswana,2000,108.6
Brazil,1987,246
Brazil,1996,326.8
Brazil,2006,301.2
Brazil,2010,369.7
Brunei Darussalam,1991,279.4
Brunei Darussalam,1994,297
Bulgaria,1980,1590
Bulgaria,1985,1575
Bulgaria,1990,866
Bulgaria,2002,837.3
Bulgaria,2007,819.5
Bulgaria,2012,782.4
Bulgaria,2015,787.3
Burkina Faso,1985,35.63
Burkina Faso,1992,40.44
Burkina Faso,2001,58.23
Burkina Faso,2005,57.35
Burundi,1987,19.57
Burundi,2000,40.22
Cabo Verde,1990,71.62
Cabo Verde,2001,48.31
Cambodia,2006,159.1
Cameroon,1987,35.9
Cameroon,1992,31.26
Cameroon,2000,57.6
Canada,1986,1590
Canada,1991,1590
Canada,1996,1413
Canada,2007,1253
Canada,2009,1113
Central African Republic,1987,7.052
Central African Republic,2000,17.15
Central African Republic,2005,17.25
Chad,1987,33.46
Chad,2002,94.33
Chad,2005,81.6
Chile,1992,1496
Chile,2006,2152
China,1980,431.1
China,1985,430.2
China,1990,411.4
China,1993,411.9
China,2000,418.4
China,2007,423.2
China,2012,435.2
China,2015,425
Colombia,2000,186.3
Colombia,2008,251.1
Comoros,1999,17.38
Congo,1987,18.17
Congo,2002,14.12
Costa Rica,2013,488.8
Côte d'Ivoire,1987,64.81
Côte d'Ivoire,1990,84.31
Côte d'Ivoire,1994,80.54
Côte d'Ivoire,2000,81.99
Côte d'Ivoire,2005,82.12
Croatia,2012,156.1
Croatia,2013,149.5
Cuba,1995,473.7
Cuba,2007,437.5
Cuba,2013,611
Cyprus,1975,232.9
Cyprus,1980,255.9
Cyprus,1985,276.5
Cyprus,1990,282.3
Cyprus,1993,236.9
Cyprus,2002,214.5
Cyprus,2007,203.8
Cyprus,2012,226.6
Cyprus,2013,219.1
Czechia,1997,241.7
Czechia,2002,186.6
Czechia,2007,190.6
Czechia,2012,174.6
Czechia,2013,156.5
Democratic People's Republic of Korea,2005,359.1
Democratic Republic of the Congo,2000,11.46
Democratic Republic of the Congo,2005,11.42
Denmark,1970,144.3
Denmark,1975,236.5
Denmark,1980,235.2
Denmark,1985,333.3
Denmark,1990,243.9
Denmark,1997,176.7
Denmark,2002,124.4
Denmark,2007,104.4
Denmark,2012,116.4
Djibouti,1985,16.47
Djibouti,2000,25.49
Dominica,1996,234.6
Dominica,2000,237.8
